CD_REFNIS;SectorId;POPULATION;DT_STRT_SECTOR;DT_STOP_SECTOR;OPPERVLAKKTE IN HM²;TX_DESCR_SECTOR_NL;Value
11002;11002C29-;0;01Mar1981;31Dec9999;15,07570361;STADSPARK (STATIONSWIJK );0
11002;11002C31-;1283;01Mar1981;31Dec9999;10,18139719;JEZUITENCOLLEGE(STATIONSWIJK );12601,41389
11002;11002C41-;3129;01Mar1981;31Dec9999;13,76375713;DAMBRUGGESTRAAT-N.(STATIONSW.);22733,61824
11002;11002C42-;3681;01Mar1981;31Dec9999;13,30018777;DE ZAVEL (NOORDWIJK );27676,301
11002;11002C43-;2318;01Mar1981;31Dec9999;12,55760322;ST.-WILLEBRORDUS (NOORDWIJK );18458,93647
11002;11002C44-;2065;01Mar1981;31Dec9999;8,853852307;POTGIETERSTRAAT (NOORDWIJK);23323,18101
11002;11002C45-;2844;01Mar1981;31Dec9999;19,51507935;STUIVENBERG ZIEKENHUIS(NOORDW);14573,34581
11002;11002C491;0;01Mar1981;31Dec9999;10,74374136;SCHIJNPOORT (DAM-SCHIJNPOORT );0
11002;11002D30-;4311;01Mar1981;31Dec9999;18,24906208;CHARLOTTALEI (OOSTWIJK);23623,13186
11002;11002D31-;3025;01Mar1981;31Dec9999;16,46264913;ASTRID BAD (OOSTWIJK);18374,92846
11002;11002D32-;4044;01Mar1981;31Dec9999;25,29859384;ST.-VINCENTIUS (OOSTWIJK);15985,07816
11002;11002D33-;3331;01Mar1981;31Dec9999;14,30936224;STADSPARK-ZUID (OOSTWIJK);23278,46583
11002;11002D34-;5431;01Mar1981;31Dec9999;33,81087044;DAGERAADPLAATS - OOSTSTATIE (OOSTWIJK);16062,88134
11002;11002D35-;1553;01Mar1981;31Dec9999;11,05019517;VAN DIEPENBEECKSTR. (OOSTWIJK);14054,05041
11002;11002D38-;2;01Mar1981;31Dec9999;9,624423684;GAS (OOSTWIJK);20,78046505
11002;11002D41-;3641;01Mar1981;31Dec9999;32,50930676;STAPPAERTS - KRIJGSHOSPITAAL (OOSTWIJK);11199,86971
11002;11002D42-;2524;01Mar1981;31Dec9999;17,82506871;LAMORINIERESTR.-ZUID (EBES) (OOSTWIJK);14159,83322
11002;11002E122;1205;01Mar1981;31Dec9999;9,211212322;WAALSE KAAI (ZUIDWIJK);13081,8828
11002;11002E131;1532;01Mar1981;31Dec9999;10,89409249;VLAAMSE KAAI (ZUIDWIJK);14062,66746
11002;11002E14-;6102;01Mar1981;31Dec9999;41,48549229;MUSEUMWIJK (ZUIDWIJK);14708,75639
11002;11002E15-;1467;01Mar1981;31Dec9999;11,31942864;GERECHTSHOF (ZUIDWIJK);12960,01809
11002;11002E19-;4;01Mar1981;31Dec9999;8,378717057;OUDE SCHIPPERSDOKKEN(ZUIDWIJK);47,74000569
11002;11002E50-;5842;01Mar1981;31Dec9999;39,48908099;BELL (ZUIDWIJK);14793,96292
11002;11002E521;3263;01Mar1981;31Dec9999;19,6945322;LANGE ELZENSTRAAT (ZUIDWIJK);16568,0503
11002;11002E53-;2626;01Mar1981;31Dec9999;18,79736202;TROONPLAATS (ZUIDWIJK);13970,04536
11002;11002E551;2251;01Mar1981;31Dec9999;17,35533061;GERECHTSHOF (ZUIDWIJK);12970,07848
11002;11002E5MJ;473;01Oct2001;31Dec9999;100,5709585;SPAGHETTIKNOOP (KIEL);470,3146983
11002;11002F11-;3523;01Mar1981;31Dec9999;23,77512588;ST.-CATHARINA (KIEL);14818,00777
11002;11002F12-;3118;01Mar1981;31Dec9999;15,51121923;MAURITS SABBELAAN (KIEL);20101,57909
11002;11002F21-;4143;01Mar1981;31Dec9999;40,79597097;KOLONIELAAN (CAM. HUYSMANSL.);10155,41462
11002;11002F223;838;01Mar1981;31Dec9999;4,667180761;VOLHARDINGSSTRAAT (KIEL);17955,16486
11002;11002F60-;1888;01Mar1981;31Dec9999;16,98421084;KIEL - CENTRUM (KIEL);11116,2068
11002;11002F61-;4741;01Mar1981;31Dec9999;20,95487564;BOOMSE STWG-BEERSCHOT (KIEL);22624,80619
11002;11002F62-;2695;01Mar1981;31Dec9999;23,7978179;BEERSCHOT - STADION (KIEL);11324,5677
11002;11002F64-;2394;01Mar1981;31Dec9999;16,88696565;JAN DE VOSLEI (KIEL);14176,61438
11002;11002F65-;2280;01Mar1981;31Dec9999;18,86951651;PIUS X (KIEL);12082,9805
11002;11002F6MJ;4;01Oct2001;31Dec9999;153,9081329;PETROLEUM - SCHELDEKADEN-Z.;2,598952976
11002;11002F6NJ;7;01Oct2001;31Dec9999;143,974412;KIELSE POLDER (KIEL);4,861975057
11002;11002G51-;2894;01Mar1981;31Dec9999;26,42663882;ST.-LAURENTIUS (ZUIDWIJK);10951,07108
11002;11002G522;1011;01Mar1981;31Dec9999;18,05938188;FRANSEN PLAATS (ZUIDWIJK);5598,198247
11002;11002G53-;3150;01Mar1981;31Dec9999;30,67722797;HARMONIE (ZUIDWIJK);10268,20286
11002;11002G54-;2310;01Mar1981;31Dec9999;32,31307203;KAREL OOMSTRAAT;7148,809615
11002;11002G552;454;01Mar1981;31Dec9999;1,745871902;C. TEICHMANN PLAATS (ZUIDWIJK);26004,19878
11002;11002G59-;83;01Mar1981;31Dec9999;8,989256573;ALBERTPARK (OOSTWIJK);923,3244076
11002;11002G72-;994;01Mar1981;31Dec9999;7,41584821;WILRIJKSPL.-W. (WILRIJKSPLEIN);13403,72634
11002;11002G73-;708;01Mar1981;31Dec9999;5,075959507;BLOKKEN-KRUISHOFSTR. (WILR.PL);13948,10181
